Column1,Column2,Column3,Column4,Column5,Column6
Back Boxes,Essentials 1-Gang Surface Pattress Back Box 25mm,9474D,0.69,"Fixed Lugs, Side & Base Knockouts",Essentials
Back Boxes,MK Logic Plus 1-Gang Surface Pattress Back Box 30mm,11340,1.99,"Fixed Lugs, Side & Base Knockouts",MK
Junction Boxes,Wago Wagobox Pro 32A Junction Box 145 x 65 x 28mm White,155CC,3.12,"Polypropylene, 32A Current Rating / 25A MF, No Specialist Tools Required",Wago
Junction Boxes,Debox 24A In-line Junction Box 50 x 102 x 28.5mm White,8692H,1.19,"Polypropylene, Flame-Retardant, Screwless Cable Clamps",Debox
Junction Boxes,Vimark 30A Chocbox Connector Box 90 x 30 x 50mm White,194VT,1.20,"Polypropylene, Suitable for 3 to 30A Connectors",Vimark
Junction Boxes,Spelsberg IP65 24A 5-Terminal Weatherproof Outdoor Box 80 x 52 x 80mm,14556,5.39,"IK07 Impact Resistance, PVC, Side & Base Knockouts",Spelsberg
Junction Boxes,Debox 16A 2SL In-line Junction Box 50 x 29 x 97mm White,9858R,1.89,"Polypropylene, 4-Pole Screwless Connectors, Tool-Free",Debox
Junction Boxes,Vimark 4-Entry Square Junction Box 70 x 42 x 70mm,999VT,2.29,"IP54, IK07 Impact Resistance, Plastic Construction",Vimark
Junction Boxes,Wago 207-3309 25A 32-Terminal Junction Box Set 115 x 155 x 35mm,621HV,17.49,"Polycarbonate, Quick & Easy to Install, Screwless Design",Wago
Junction Boxes,Vimark 6-Entry Square Junction Box 88 x 45 x 88mm,498VT,2.99,"IP55, IK07 Impact Resistance, Plastic Construction",Vimark
Junction Boxes,Spelsberg Black IP66 24A 5-Terminal Outdoor Box 87 x 52 x 87mm,381EH,9.99,"IK07 Impact Resistance, PVC, Side & Rear Knockouts",Spelsberg
Junction Boxes,Vimark 4-Entry Round Junction Box 67 x 48 x 67mm,961VT,1.49,"IP44, IK07 Impact Resistance, Plastic Construction",Vimark
Junction Boxes,British General 60A Heavy Duty Junction Box 160 x 80 x 37mm Brown,850XF,5.89,Plastic Construction,British General
Junction Boxes,Knightsbridge 30A 3-Terminal Junction Box White,349YA,2.59,Thermoplastic Construction,Knightsbridge
Cable,Prysmian 6242Y Grey 2.5mm² Twin & Earth Cable 10m Coil,82572,17.49,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 2.5mm² Twin & Earth Cable 100m Drum,20967,86.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 2.5mm² Twin & Earth Cable 50m Drum,83956,53.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 2.5mm² Twin & Earth Cable 25m Coil,78006,31.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 1mm² Twin & Earth Cable 100m Drum,20999,49.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Time 6242Y Grey 2.5mm² Twin & Earth Cable 100m Drum,75935,81.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Time
Cable,Prysmian 6242Y Grey 1.5mm² Twin & Earth Cable 10m Coil,87315,12.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 1.5mm² Twin & Earth Cable 25m Coil,65696,20.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 1mm² Twin & Earth Cable 50m Drum,87063,29.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 1mm² Twin & Earth Cable 25m Coil,60730,19.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 1mm² Twin & Earth Cable 10m Coil,42776,10.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
Cable,Prysmian 6242Y Grey 10mm² Twin & Earth Cable 25m Drum,99630,114.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, 7 Strands Per Core",Prysmian
Cable,Prysmian 6242Y Grey 10mm² Twin & Earth Cable 10m Coil,69495,59.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, 7 Strands Per Core",Prysmian
Cable,Prysmian 6242Y Grey 4mm² Twin & Earth Cable 50m Drum,84562,94.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, 7 Strands Per Core",Prysmian
Cable,Prysmian 6242Y Grey 4mm² Twin & Earth Cable 25m Coil,25819,54.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, 7 Strands Per Core",Prysmian
Cable,Prysmian 6242Y Grey 10mm² Twin & Earth Cable 50m Drum,23496,199.99,"Grey PVC Sheathed, Brown & Blue Cores with Bare Earth, Solid Core Wire",Prysmian
